Origineel;title;role;user_info;conversation;casus;free_question;attitude;steadfastness;goal;gender;age;types;level;free_question_1;free_question_2;openingMessage;lastColumn
;Persoonlijke relatie;Persoon;Je wilt een lastig onderwerp bespreken met een vriend of familielid. Er zit je bijvoorbeeld iets dwars of je wilt ergens open over worden. Maak een case voor jouw situatie en onderzoek hoe je dit gesprek kunt voeren.;personal;Jai bent een vriend of familielid van de gebruiker. De gebruiker wil een gevoelig onderwerp mety jou bespreken.;Met wie wil je dit gesprek voeren?;50;80;;male;Young adult;relationship_problems$$$children_family$$$family$$$friends$$$neighbours;1;Omschrijf hoe jouw relatie tot deze persoon nu is.;;Hallo, mijn naam is [name]. Ik wil iets met je bespreken. Kan dat nu?;
;Verkoopgesprek;Persoon;Hoe kun je jouw product of dienst zo goed mogelijk verkopen? Maak jouw situatie zelf op maat en vergroot jouw verkoopskills.;sales;Jai bent een potentiële klant van de gebruiker. De gebruiker wil een product of dienst dat de gebruiker aanbiedt bij jou aanprijzen. Jai stelt kritische vragen om te ontdekken of het product of de dienst waardevol voor jou is.;Wat is de rol of functie van de potentiële klant met wie je in gesprek wilt?;40;90;;female;Young adult;commercial;1;Wat is het product of de dienst?;Wat is belangrijk voor de potentiële klant?;Hallo, mijn naam is [name]. Kan ik iets voor u betekenen?;
;Andersdenkende;Persoon;Leer het perspectief kennen van iemand die ergens heel anders over denkt dan jij. Kunnen jullie tot toenadering of zelfs een doorbraak komen?;transformative;Jai bent een persoon met een andere visie of mening dan de gebruiker op een onderwerp. Jai maakt duidelijk hoe jai het ziet.;Omschrijf kort de opvatting van de andersdenkende waar jij mee in gesprek wilt.;30;90;;male;Young adult;all_opinions;1;;;Hallo, mijn naam is [name]. Ik wil graag in gesprek met u. Schikt dat?;
;Verdiepend gesprek;Persoon;Wat zit er achter een visie of opvatting van iemand anders? Verdiep je in de achtergronden en begrijp het perspectief van een ander.;transformative;Jai bent een persoon met een specifieke visie en opvatting. De gebruiker probeert jouw perspectief te begrijpen.;Wat is het onderwerp waarover je in gesprek wilt gaan?;40;90;;female;Middle-aged;all_opinions;1;Wat weet je al over de visie of opvatting van de ander?;Welke kenmerken van de ander of over jullie relatie wil je nog meegeven aan de AI-assistent?;Hallo, mijn naam is [name]. Ik wil graag in gesprek met u. Schikt dat?;
;Samenwerking met collega;Collega;Wil je iets in de samenwerking met je collega verbeteren of bespreken? Creëer zelf waar je het over wilt hebben.;transformative;Jai bent een collega van de gebruiker. De gebruiker wil iets met jou bespreken.;Met wie wil je in gesprek? Benoem wat jouw relatie tot deze persoon is. In de openingsboodschap hierna kun je aangeven waarover je het wil hebben.;40;80;;female;Middle-aged;communication_colleagues$$$leadership_profession$$$work_conflict$$$organizational_changes;1;Wat is de visie van jouw collega?;;Hallo, mijn naam is [name]. Ik wil iets met je bespreken. Kan dat nu?;
;Privé- of familiekwestie;Persoon;Creëer zelf een case over een privé- of familiekwestie. Wat wil jij uitpraten?;transformative;Jai bent een persoon met een persoonlijk relatie met de gebruiker. De gebruiker wil een kwestie met jou uitpraten. ;Met wie wil je in gesprek? Benoem wat jouw relatie tot deze persoon is.;60;80;;male;Middle-aged;relationship_problems$$$children_family$$$family$$$friends$$$neighbours;1;Waarover wil je in gesprek?;Wat is de visie van de AI-assistent op dit onderwerp?;Hallo, mijn naam is [name]. Ik wil iets met je bespreken. Kan dat nu?;
;Samenwerkingsrelatie verkennen;Persoon;Je hebt een doel in gedachten en zoekt daar samenwerkingspartners bij. Bereid je goed voor met deze case op maat.;introduction;Jai bent een potentiële samenwerkingspartner van de gebruiker. Jai stelt kritische vragen over de ideeën en voorstellen van de gebruiker. Jai wilt weten of samenwerken ook aansluit bij wat jai belangrijk vindt.;;60;95;;female;Middle-aged;communication_colleagues$$$government$$$commercial;1;;;Hallo, mijn naam is [name]. Ik wil iets met u bespreken. Kan dat nu?;
;Contact met instanties;Persoon;Je wilt iets regelen bij een instantie. Creëer hier jouw case op maat zodat je optimaal voorbereid bent.;customer;Jai bent vertegenwoordiger van een instantie, organisatie of bedrijf. De gebruiker meldt zich bij jou met een vraag.;Met wie wil je in gesprek? Geef bijvoorbeeld de functie, rol en organisatie van de ander aan.;50;95;;male;Young adult;government;1;Wat is het onderwerp van gesprek?;Wat is belangrijk voor de ander?;Hallo, mijn naam is [name]. Ik wil iets met u bespreken. Kan dat nu?;
;Professionele relatie;Persoon;Creëer zelf een case waarmee jij een belangrijk gesprek in relatie tot jouw werk kunt oefenen. Zo ben je optimaal voorbereid op wat in het gesprek aan de orde zou kunnen komen.;work;Jai bent een collega of andere professionele relatie van de gebruiker. De gebruiker wil iets met jou bespreken.;Met wie van welke organisatie wil je in gesprek? ;50;80;;female;Young adult;communication_colleagues$$$leadership_profession$$$organizational_changes;1;Waarover wil je in gesprek?;Wat is belangrijk voro de ander?;Hallo, mijn naam is [name]. Aangenaam kennis te maken.;
;Advies vragen;Expert;Leg je vraag voor aan een expert. Zorg dat jij een advies krijgt waar je wat aan hebt.;consultation;Jai bent een expert op een bepaald onderwerp. De gebruiker gaat een vraag voorleggen waar jai zo goed mogelijk antwoord op geeft. Jai luistert goed of jouw advies inderdaad aansluit op de vraag en zonodig vul jai je advies aan.;Waarover wil je advies inwinnen?;80;60;;male;Middle-aged;all;1;;;Hallo, mijn naam is [name]. Kan ik u een vraag stellen?;
;Vriend;Vriend;Bespreek iets met een vriend of vriendin.;personal;Jai bent bevriend met de gebruiker. De gebruiker wil iets met je bespreken?;Waarover wil je spreken?;80;60;;female;Young adult;all;1;Welke kenmerken wil je over je vriend of vriending meegeven?;;Hallo, mijn naam is [name]. Ik wil iets met je bespreken. Kan dat nu?;
